Country,Year,Cal
Africa,1961,1993.467372
Africa,1962,2024.028233
Africa,1963,2026.870224
Africa,1964,2035.992621
Africa,1965,2041.25666
Africa,1966,2008.277613
Africa,1967,2040.789173
Africa,1968,2052.068997
Africa,1969,2084.761294
Africa,1970,2104.835397
Africa,1971,2086.736991
Africa,1972,2048.46844
Africa,1973,2078.73861
Africa,1974,2118.96014
Africa,1975,2126.998081
Africa,1976,2125.255315
Africa,1977,2140.324436
Africa,1978,2166.703689
Africa,1979,2194.901123
Africa,1980,2229.945354
Africa,1981,2238.060018
Africa,1982,2243.641923
Africa,1983,2208.065586
Africa,1984,2182.195076
Africa,1985,2234.48846
Africa,1986,2269.957099
Africa,1987,2256.716309
Africa,1988,2276.737126
Africa,1989,2280.37703
Africa,1990,2294.194485
Africa,1991,2323.513523
Africa,1992,2321.374108
Africa,1993,2340.699058
Africa,1994,2355.855733
Africa,1995,2376.428864
Africa,1996,2390.92661
Africa,1997,2404.471336
Africa,1998,2424.89845
Africa,1999,2434.923099
Africa,2000,2435.517267
Africa,2001,2459.619351
Africa,2002,2475.209278
Africa,2003,2482.515957
Africa,2004,2495.301144
Africa,2005,2528.113201
Africa,2006,2548.907079
Africa,2007,2553.181198
Africa,2008,2570.215859
Africa,2009,2578.412784
Africa,2010,2597.919383
Africa,2011,2618.564344
Africa,2012,2623.85158
Africa,2013,2631.282611
Africa,2014,2624.316674
Africa,2015,2609.484738
Africa,2016,2603.437416
Africa,2017,2599.721453
Africa,2018,2604.253905
Africa,2018,2604.253905
Australia,1961,3091
Australia,1962,3113
Australia,1963,3169
Australia,1964,3146
Australia,1965,3095
Australia,1966,3166
Australia,1967,3106
Australia,1968,3127
Australia,1969,3131
Australia,1970,3159
Australia,1971,3183
Australia,1972,3221
Australia,1973,3098
Australia,1974,3018
Australia,1975,3093
Australia,1976,3115
Australia,1977,3071
Australia,1978,3022
Australia,1979,3009
Australia,1980,3060
Australia,1981,3069
Australia,1982,3104
Australia,1983,3038
Australia,1984,3083
Australia,1985,3121
Australia,1986,3083
Australia,1987,3110
Australia,1988,3115
Australia,1989,3133
Australia,1990,3174
Australia,1991,3121
Australia,1992,3125
Australia,1993,3042
Australia,1994,3054
Australia,1995,3099
Australia,1996,3077
Australia,1997,3096
Australia,1998,3015
Australia,1999,3014
Australia,2000,2991
Australia,2001,3048
Australia,2002,3077
Australia,2003,3104
Australia,2004,3052
Australia,2005,3099
Australia,2006,3156
Australia,2007,3198
Australia,2008,3199
Australia,2009,3205
Australia,2010,3213
Australia,2011,3237
Australia,2012,3257
Australia,2013,3276
Australia,2014,3407
Australia,2015,3393
Australia,2016,3416
Australia,2017,3406
Australia,2018,3391
Belgium,2000,3709
Belgium,2001,3747
Belgium,2002,3749
Belgium,2003,3717
Belgium,2004,3722
Belgium,2005,3716
Belgium,2006,3716
Belgium,2007,3713
Belgium,2008,3702
Belgium,2009,3697
Belgium,2010,3707
Belgium,2011,3720
Belgium,2012,3715
Belgium,2013,3733
Belgium,2014,3789
Belgium,2015,3804
Belgium,2016,3774
Belgium,2017,3768
Belgium,2018,3769
Cambodia,1961,1913
Cambodia,1962,1883
Cambodia,1963,1945
Cambodia,1964,1915
Cambodia,1965,1928
Cambodia,1966,1945
Cambodia,1967,1973
Cambodia,1968,2017
Cambodia,1969,2017
Cambodia,1970,2088
Cambodia,1971,2069
